NOT,NOI,TLOC,ACD,NSM,NSF,NOM,NOF,MLOC_total,MLOC_max,NBD_total,NBD_max,PAR_total,PAR_max,VG_total,VG_max,FOUT_total,FOUT_max,file,pre,post,MLOC_avg,NBD_avg,PAR_avg,VG_avg,FOUT_avg
1,0,387,1,0,5,6,10,364,168,24,7,5,2,91,39,87,30,eclipse\org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,21.0,0.0,60.666666666666664,4.0,0.8333333333333334,15.166666666666666,14.5
0,1,52,0,0,0,6,0,6,1,-6,-1,43,12,6,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\ICorrectionRequestor.java,0.0,0.0,1.0,-1.0,7.166666666666667,1.0,0.0
1,0,230,1,0,0,8,8,145,62,9,4,12,6,46,20,45,18,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\SuperTypeNamesCollector.java,0.0,0.0,18.125,1.125,1.5,5.75,5.625
1,0,102,0,0,0,10,3,84,15,12,2,15,3,33,6,21,4,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\Block.java,0.0,0.0,8.4,1.2,1.5,3.3,2.1
0,1,11,0,0,0,8,0,8,1,-8,-1,3,1,8,1,0,0,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\InvocationSite.java,0.0,0.0,1.0,-1.0,0.375,1.0,0.0
1,0,59,0,1,2,11,3,43,7,2,1,8,2,13,2,15,6,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\ArrayInitializer.java,0.0,0.0,3.909090909090909,0.18181818181818182,0.7272727272727273,1.1818181818181819,1.3636363636363635
1,0,17,0,0,1,3,3,10,4,0,0,3,2,3,1,0,0,eclipse\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\select\SelectionNodeFound.java,0.0,0.0,3.3333333333333335,0.0,1.0,1.0,0.0
0,1,103,0,0,0,14,0,14,1,-14,-1,98,13,14,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\ICompletionRequestor.java,0.0,0.0,1.0,-1.0,7.0,1.0,0.0
1,0,56,0,0,0,1,13,40,40,3,3,0,0,10,10,0,0,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\parser\RecoveryScannerData.java,21.0,0.0,40.0,3.0,0.0,10.0,0.0
1,0,436,0,0,1,40,15,432,98,20,3,46,16,92,17,76,14,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\jdom\DOMType.java,0.0,0.0,10.8,0.5,1.15,2.3,1.9
1,0,30,0,0,0,7,3,23,4,0,0,10,3,7,1,2,1,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\ProblemBinding.java,0.0,0.0,3.2857142857142856,0.0,1.4285714285714286,1.0,0.2857142857142857
1,0,1325,0,17,28,47,43,1102,200,59,8,74,12,407,80,272,49,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ClasspathEntry.java,8.0,0.0,23.4468085106383,1.2553191489361701,1.574468085106383,8.659574468085106,5.787234042553192
